,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w
9,Action_HSVXMFCU,Grasping,1600384759.3122625,1600384759.8578866,0.5456242561340332,False,CRAMGripperClosedCompletely,Action_XULZCOPF,,,milk_1,, :LEFT,Front,,,9,Action_HSVXMFCU,0.7999997456868491,-0.3600001335144043,3.814697266402156e-09,0.0,0.0,-0.6437739133834839,0.7652157545089722
1,Action_KJHMLRBS,Grasping,1600357554.9328055,1600357555.4560266,0.5232210159301758,True,,Action_XRYUPKVQ,,,milk_1,, :LEFT,Front,,,1,Action_KJHMLRBS,0.3309673627217611,-1.0217142740885417,3.814697266402156e-09,0.0,0.0,-0.2925819158554077,0.9562404751777648
0,Action_TEBPHNGK,Grasping,1600337741.518067,1600337742.002293,0.4842262268066406,True,,Action_RZNFLQDT,,,milk_1,, :LEFT,Front,,,0,Action_TEBPHNGK,0.24055277506510414,-1.2988868713378907,3.814697266402156e-09,0.0,0.0,0.002779556205496192,0.9999961256980896
1,Action_JIOKPZQY,Grasping,1600354050.052125,1600354050.7454188,0.6932938098907471,True,,Action_MBWZRDEC,,,milk_1,, :LEFT,Front,,,1,Action_JIOKPZQY,0.4608303705851237,-0.9595827102661132,3.814697266402156e-09,0.0,0.0,-0.3142548203468323,0.949338674545288
0,Action_UPZGEJNM,Grasping,1600389167.273849,1600389167.7994444,0.5255954265594482,True,,Action_SXUKDPFZ,,,milk_1,, :LEFT,Front,,,0,Action_UPZGEJNM,0.5096749305725098,-0.9183300018310548,3.814697266402156e-09,0.0,0.0,-0.4636747241020202,0.8860054612159729
1,Action_THOUBDNQ,Grasping,1600349217.6235065,1600349218.1414237,0.5179171562194824,False,CRAMGripperClosedCompletely,Action_BSMCHTIP,,,milk_1,, :LEFT,Front,,,1,Action_THOUBDNQ,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
2,Action_FDQNYMHB,Grasping,1600349226.7461455,1600349227.26881,0.5226643085479736,False,CRAMGripperClosedCompletely,Action_DKTRZBOU,,,milk_1,, :LEFT,Front,,,2,Action_FDQNYMHB,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
3,Action_WDHKVNPR,Grasping,1600349194.657093,1600349195.1522436,0.4951505661010742,False,CRAMGripperClosedCompletely,Action_YPVEWIZS,,,milk_1,, :LEFT,Front,,,3,Action_WDHKVNPR,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
4,Action_KZPHJUCY,Grasping,1600349204.1845412,1600349204.6726573,0.4881160259246826,False,CRAMGripperClosedCompletely,Action_UISVFWQT,,,milk_1,, :LEFT,Front,,,4,Action_KZPHJUCY,0.5599999745686849,-0.5599999745686849,3.814697266402156e-09,0.0,0.0,-0.4906733334064484,0.8713436126708984
5,Action_UBNLWYXT,Grasping,1600349241.2057388,1600349241.745021,0.5392823219299316,True,,Action_SIQYPODB,,,milk_1,, :LEFT,Front,,,5,Action_UBNLWYXT,0.43723859786987307,-0.9628295262654624,3.814697266402156e-09,0.0,0.0,-0.38718894124031067,0.9220004081726074
1,Action_VGMFLTHQ,Grasping,1600404239.379566,1600404239.880758,0.5011920928955078,True,,Action_YDGBZISH,,,milk_1,, :LEFT,Front,,,1,Action_VGMFLTHQ,0.4817055066426595,-0.9222412745157876,3.814697266402156e-09,0.0,0.0,-0.4409050941467285,0.8975537419319153
0,Action_LSMFQHKB,Grasping,1600346009.5800931,1600346010.129252,0.5491588115692139,False,CRAMGripperClosedCompletely,Action_WGFBQXVZ,,,milk_1,, :LEFT,Front,,,0,Action_LSMFQHKB,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
1,Action_HMGSNFRE,Grasping,1600346094.666353,1600346095.2577221,0.5913691520690918,True,,Action_TKLMSGDB,,,milk_1,, :LEFT,Front,,,1,Action_HMGSNFRE,0.2604920546213786,-1.1426658630371094,3.814697266402156e-09,0.0,0.0,-0.1848677545785904,0.982763409614563
3,Action_FXNODTCP,Grasping,1600346063.8877935,1600346064.4259062,0.5381126403808594,False,CRAMGripperClosedCompletely,Action_MFHIVPJS,,,milk_1,, :LEFT,Front,,,3,Action_FXNODTCP,0.2799997329711914,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.38611385226249695,0.9224511384963988
4,Action_JNTFLGXY,Grasping,1600346046.854187,1600346047.460054,0.6058669090270996,False,CRAMGripperClosedCompletely,Action_ILHWGKUT,,,milk_1,, :LEFT,Front,,,4,Action_JNTFLGXY,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
5,Action_CDSZLKXY,Grasping,1600346076.6475213,1600346077.3008487,0.6533274650573729,False,CRAMGripperClosedCompletely,Action_YRXZUVGO,,,milk_1,, :LEFT,Front,,,5,Action_CDSZLKXY,0.2799997329711914,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.38611385226249695,0.9224511384963988
6,Action_JODVPMIH,Grasping,1600346035.5258243,1600346036.0886512,0.5628266334533691,False,CRAMGripperClosedCompletely,Action_KGPBULWY,,,milk_1,, :LEFT,Front,,,6,Action_JODVPMIH,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
